"drug_name","targets","max_clinical_stage","real_distance","z_score"
"AR9281","EPHX2","PHASE_2",0,-0.159727331765169
"PRALSETINIB","CCDC6","APPROVAL",0,-0.159727331765169
"EXAGAMGLOGENE AUTOTEMCEL","BCL11A","APPROVAL",0,-0.159727331765169
"SELPERCATINIB","CCDC6","APPROVAL",0,-0.142499552451857
"DROTAVERINE","PDE4B","APPROVAL",0,-0.142499552451857
"SETANAXIB","NOX4","PHASE_2",0,-0.123094615089204
"IVABRADINE","HCN4","APPROVAL",0,-0.123094615089204
"ME-344","MT-ND1","PHASE_1_2",0,-0.123094615089204
"FLAVOXATE HYDROCHLORIDE","PDE4B","APPROVAL",0,-0.100252207210141
"METFORMIN HYDROCHLORIDE","MT-ND1","APPROVAL",0,-0.100252207210141
"CONBERCEPT","VEGFC; PGF; VEGFB","PHASE_3",0.666666666666667,-0.0912839724713418
"MARIMASTAT","MMP3; MMP9; MME","PHASE_3",0.666666666666667,-0.0700105551507224
"JNJ-26483327","EGFR; LYN; SRC; FYN; ERBB4","PHASE_1",0.8,-0.0287116337427698
"RG-7594","ITGB1","PHASE_1",1,0.273664892008967
"LUTIKIZUMAB","IL1B","PHASE_3",1,0.332498955721
"REBIMASTAT","MMP9","PHASE_3",1,0.341660421435406
"ATN-161","ITGB1","PHASE_2",1,0.368350129878921
"SAR-260301","PIK3CB","PHASE_1",1,0.377018377725618
"ROCACETRAPIB","CETP","PHASE_2",1,0.377018377725618
"EVACETRAPIB","CETP","PHASE_3",1,0.385588071547267
"GOLVATINIB","KDR","PHASE_1_2",1,0.385588071547267
"TAS-115","KDR","PHASE_1",1,0.385588071547267
"PEGDINETANIB","KDR","PHASE_2",1,0.39406727514606
"GSK-2636771","PIK3CB","PHASE_2",1,0.39406727514606
"OLPASIRAN","LPA","PHASE_3",1,0.39406727514606
"NATALIZUMAB","ITGB1","APPROVAL",1,0.402463345145923
"GEVOKIZUMAB","IL1B","PHASE_3",1,0.402463345145923
"ABITUZUMAB","ITGB1","PHASE_2",1,0.402463345145923
"LUCITANIB","KDR","PHASE_3",1,0.402463345145923
"SOVLEPLENIB","SYK","PHASE_3",1,0.402463345145923
"OSI-930","KDR","PHASE_1",1,0.410783020655041
"ANACETRAPIB","CETP","PHASE_3",1,0.410783020655041
"VOLOCIXIMAB","ITGB1","PHASE_2",1,0.410783020655041
"ANDECALIXIMAB","MMP9","PHASE_3",1,0.410783020655041
"RESATORVID","TLR4","PHASE_3",1,0.419032499090605
"ENTOSPLETINIB","SYK","PHASE_3",1,0.419032499090605
"R-333","SYK","PHASE_2",1,0.419032499090605
"PELACARSEN","LPA","PHASE_3",1,0.419032499090605
"FIRATEGRAST","ITGB1","PHASE_2",1,0.427217500694211
"R-343","SYK","PHASE_2",1,0.427217500694211
"SEMAXANIB","KDR","PHASE_3",1,0.427217500694211
"ABBV-3373","TNF","PHASE_2",1,0.427217500694211
"ALACIZUMAB PEGOL","KDR","PHASE_2",1,0.435343323738644
"DALCETRAPIB","CETP","PHASE_3",1,0.435343323738644
"ZD-4190","KDR","UNKNOWN",1,0.435343323738644
"TORCETRAPIB","CETP","PHASE_3",1,0.435343323738644
"PKI-179","PIK3CA","PHASE_1",1,0.443414892022207
"CDP-484","IL1B","PHASE_1_2",1,0.443414892022207
"ZILTIVEKIMAB","IL6","PHASE_3",1,0.443414892022207
"OLEZARSEN","APOC3","APPROVAL",1,0.443414892022207
"TOLIMIDONE","LYN","PHASE_2",1,0.443414892022207
"RILONACEPT","IL1B","APPROVAL",1,0.451436795933707
"FOSTAMATINIB","SYK","APPROVAL",1,0.451436795933707
"CABOZANTINIB","KDR","APPROVAL",1,0.451436795933707
"ALPELISIB","PIK3CA","APPROVAL",1,0.451436795933707
"SERABELISIB","PIK3CA","PHASE_2",1,0.451436795933707
"PLACULUMAB","TNF","PHASE_2",1,0.459413328126869
"ERITORAN TETRASODIUM","TLR4","PHASE_3",1,0.459413328126869
"DANVATIRSEN","STAT3","PHASE_2",1,0.459413328126869
"R-348","SYK","PHASE_1",1,0.459413328126869
"RAF-265","KDR","PHASE_2",1,0.459413328126869
"TANDUTINIB","PDGFRB","PHASE_2",1,0.467348514650835
"AS-1409","FN1","PHASE_1",1,0.467348514650835
"L19TNFA","FN1","PHASE_1_2",1,0.467348514650835
"BRIVANIB ALANINATE","KDR","PHASE_3",1,0.467348514650835
"INCB-40093","PIK3CD","PHASE_2",1,0.467348514650835
"ERITORAN","TLR4","PHASE_3",1,0.467348514650835
"IBCASERTIB","KDR","PHASE_3",1,0.467348514650835
"4SC-203","KDR","PHASE_1",1,0.467348514650835
"OCRIPLASMIN","FN1","APPROVAL",1,0.475246142231078
"LENERCEPT","TNF","PHASE_3",1,0.475246142231078
"AFELIMOMAB","TNF","APPROVAL",1,0.475246142231078
"CERDULATINIB","SYK","PHASE_2_3",1,0.475246142231078
"SURUFATINIB","KDR","APPROVAL",1,0.475246142231078
"ACALISIB","PIK3CD","PHASE_1",1,0.475246142231078
"R-112","SYK","IND",1,0.475246142231078
"PF-00337210","KDR","PHASE_1",1,0.483109782273548
"SILTUXIMAB","IL6","APPROVAL",1,0.483109782273548
"BAFETINIB","LYN","PHASE_2",1,0.483109782273548
"VOLANESORSEN","APOC3","APPROVAL",1,0.483109782273548
"PRT-2607","SYK","PHASE_2",1,0.483109782273548
"RINUCUMAB","PDGFRB","PHASE_2",1,0.483109782273548
"RIVOCERANIB MESYLATE","KDR","APPROVAL",1,0.483109782273548
"OLINVACIMAB","KDR","PHASE_2",1,0.483109782273548
"INAVOLISIB","PIK3CA","APPROVAL",1,0.483109782273548
"BECAPLERMIN","PDGFRB","APPROVAL",1,0.490942812067248
"INFLIXIMAB","TNF","APPROVAL",1,0.490942812067248
"CERTOLIZUMAB PEGOL","TNF","APPROVAL",1,0.490942812067248
"SIRUKUMAB","IL6","APPROVAL",1,0.490942812067248
"CABOZANTINIB S-MALATE","KDR","APPROVAL",1,0.490942812067248
"ONERCEPT","TNF","PHASE_3",1,0.490942812067248
"BMS-817378","KDR","PHASE_1",1,0.490942812067248
"MIVAVOTINIB","SYK","PHASE_2",1,0.490942812067248
"LANRAPLENIB","SYK","PHASE_2",1,0.490942812067248
"KRN-633","KDR","PHASE_1",1,0.490942812067248
"IMATINIB","PDGFRB","APPROVAL",1,0.490942812067248
"GOLIMUMAB","TNF","APPROVAL",1,0.4987484335815
"TELBERMIN","KDR","PHASE_2",1,0.4987484335815
"BI-505","ICAM1","PHASE_2",1,0.4987484335815
"L19IL2","FN1","PHASE_3",1,0.4987484335815
"RIVOCERANIB","KDR","APPROVAL",1,0.4987484335815
"FOSTAMATINIB DISODIUM","SYK","APPROVAL",1,0.4987484335815
"PARSACLISIB","PIK3CD","APPROVAL",1,0.4987484335815
"R-406","SYK","UNKNOWN",1,0.4987484335815
"HENATINIB","KDR","PHASE_1",1,0.506529690190047
"AXITINIB","KDR","APPROVAL",1,0.506529690190047
"PREXIGEBERSEN","GRB2","PHASE_2",1,0.506529690190047
"MIVAVOTINIB CITRATE","SYK","PHASE_2",1,0.506529690190047
"BATOPROTAFIB","PTPN11","PHASE_1_2",1,0.506529690190047
"RAMUCIRUMAB","KDR","APPROVAL",1,0.514289481601632
"IMC-1C11","KDR","PHASE_1",1,0.514289481601632
"TG100-115","PIK3CD","PHASE_1_2",1,0.514289481601632
"VOLANESORSEN SODIUM","APOC3","PHASE_2",1,0.514289481601632
"ALTIRATINIB","KDR","PHASE_1",1,0.514289481601632
"LENIOLISIB","PIK3CD","APPROVAL",1,0.514289481601632
"BFH-772","KDR","PHASE_2",1,0.514289481601632
"FRUQUINTINIB","KDR","APPROVAL",1,0.514289481601632
"ADALIMUMAB","TNF","APPROVAL",1,0.522030577233632
"LENVATINIB","KDR","APPROVAL",1,0.522030577233632
"OZORALIZUMAB","TNF","APPROVAL",1,0.522030577233632
"ALICAFORSEN","ICAM1","PHASE_3",1,0.522030577233632
"CLAZAKIZUMAB","IL6","PHASE_3",1,0.522030577233632
"CDP-860","PDGFRB","PHASE_2",1,0.522030577233632
"AZD-0424","SRC","PHASE_1",1,0.522030577233632
"ALPIDEM","DBI","APPROVAL",1,0.522030577233632
"CEP-2563","PDGFRB","PHASE_1",1,0.522030577233632
"LENIOLISIB PHOSPHATE","PIK3CD","APPROVAL",1,0.529755628229682
"CEP-5214","KDR","UNKNOWN",1,0.537467178292717
"IMATINIB MESYLATE","PDGFRB","APPROVAL",1,0.537467178292717
"CRENOLANIB","PDGFRB","PHASE_3",1,0.537467178292717
"NEMIRALISIB","PIK3CD","PHASE_2",1,0.537467178292717
"CYC-116","KDR","PHASE_1",1,0.537467178292717
"NERELIMOMAB","TNF","PHASE_3",1,0.54516767348018
"ZOLIMOMAB ARITOX","RPS27A","PHASE_2",1,0.54516767348018
"SCH-708980","IL10","PHASE_1_2",1,0.54516767348018
"OSI-632","KDR","PHASE_2",1,0.54516767348018
"BRIVANIB","KDR","PHASE_3",1,0.54516767348018
"GLESATINIB","KDR","PHASE_2",1,0.54516767348018
"GUSACITINIB","SYK","PHASE_2",1,0.54516767348018
"ZANDELISIB","PIK3CD","PHASE_3",1,0.54516767348018
"GSK-2269557","PIK3CD","PHASE_2",1,0.54516767348018
"OLOKIZUMAB","IL6","APPROVAL",1,0.552859471087583
"ENLIMOMAB PEGOL","ICAM1","IND",1,0.552859471087583
"IDELALISIB","PIK3CD","APPROVAL",1,0.552859471087583
"UMBRALISIB","PIK3CD","APPROVAL",1,0.552859471087583
"NINGETINIB","KDR","PHASE_2",1,0.552859471087583
"UMBRALISIB TOSYLATE","PIK3CD","APPROVAL",1,0.552859471087583
"SELETALISIB","PIK3CD","PHASE_2",1,0.552859471087583
"REMTOLUMAB","TNF","PHASE_2",1,0.552859471087583
"DUVELISIB MONOHYDRATE","PIK3CD","APPROVAL",1,0.552859471087583
"PEGSUNERCEPT","TNF","PHASE_2",1,0.560544847729233
"DARAPLADIB","PLA2G7","PHASE_3",1,0.560544847729233
"LENVATINIB MESYLATE","KDR","APPROVAL",1,0.568226006710347
"PACIBEKITUG","IL6","PHASE_2",1,0.568226006710347
"ONO-2952","DBI","PHASE_2",1,0.575905084772366
"CEP-11981","KDR","PHASE_2",1,0.583584158282812
"ASP-8374","TIGIT","PHASE_1",1,0.583584158282812
"RADRETUMAB","FN1","PHASE_2",1,0.591265248931979
"DEFIBROTIDE","PLG","APPROVAL",1,0.591265248931979
"AMG-319","PIK3CD","PHASE_2",1,0.591265248931979
"TIVOZANIB HYDROCHLORIDE","KDR; PDGFRB","APPROVAL",1,0.5984981202978
"MINAPRINE HYDROCHLORIDE","ACHE","UNKNOWN",1,0.598950328991177
"CITATUZUMAB BOGATOX","RPS27A","PHASE_1",1,0.598950328991177
"TENALISIB","PIK3CD","PHASE_2",1,0.598950328991177
"TIRBANIBULIN","SRC","APPROVAL",1,0.598950328991177
"DEFIBROTIDE SODIUM","PLG","APPROVAL",1,0.606641326180583
"BAY-1082439","PIK3CB; PIK3CA","PHASE_1",1,0.609487819505737
"PYRIDOSTIGMINE","ACHE","APPROVAL",1,0.61434012818914
"PRI-724","CTNNB1","PHASE_2",1,0.61434012818914
"APROTININ","PLG","APPROVAL",1,0.629768522243206
"PROPANIDID","ACHE","UNKNOWN",1,0.629768522243206
"ACOTIAMIDE","ACHE","APPROVAL",1,0.629768522243206
"CAL-263","PIK3CD","PHASE_1",1,0.629768522243206
"MT-3724","RPS27A","PHASE_2",1,0.629768522243206
